v1.0.0 -#- 2016-08-18 14:03:12 -0400 -#- CBRAIN Team -#- __cbrain-plugins-fmri-psom_TAG__
d850e3752e5bd05c4ac862d2f73475aee229efdc -#- 2015-04-20 17:22:08 -0400 -#- Pierre Rioux -#- __cbrain-plugins-fmri-psom_HEAD__
8dbbeb1e3fc2c0554a483c425388a86740766c88 -#- 2015-04-01 11:48:20 -0400 -#- Natacha Beck -#- README.md
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- cbrain_task/niak_pipeline_fmri_preprocess/bourreau/niak_pipeline_fmri_preprocess.rb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- cbrain_task/niak_pipeline_fmri_preprocess/bourreau/niak_pipeline_fmri_preprocess.xml.erb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- cbrain_task/niak_pipeline_fmri_preprocess/common/niak_pipeline_fmri_preprocess.rb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- cbrain_task/niak_pipeline_fmri_preprocess/portal/niak_pipeline_fmri_preprocess.rb
2671d804425e45b8aac9ae5bb66fcb209d643ea6 -#- 2015-04-20 16:40:16 -0400 -#- Pierre Rioux -#- cbrain_task/niak_pipeline_fmri_preprocess/views/_show_params.html.erb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- cbrain_task/niak_pipeline_fmri_preprocess/views/_task_params.html.erb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- cbrain_task/niak_pipeline_fmri_preprocess/views/public/edit_params_help.html
51b2ee081629708273dc0d044333321093f2a554 -#- 2015-04-20 16:10:06 -0400 -#- Natacha Beck -#- cbrain_task/psom_pipeline_launcher/bourreau/psom_pipeline_launcher.rb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- cbrain_task/psom_pipeline_launcher/common/psom_pipeline_launcher.rb
51b2ee081629708273dc0d044333321093f2a554 -#- 2015-04-20 16:10:06 -0400 -#- Natacha Beck -#- cbrain_task/psom_subtask/bourreau/psom_subtask.rb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- cbrain_task/psom_subtask/portal/psom_subtask.rb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- cbrain_task/psom_subtask/views/_show_params.html.erb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- cbrain_task/psom_subtask/views/_task_params.html.erb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- cbrain_task/psom_subtask/views/public/edit_params_help.html
51b2ee081629708273dc0d044333321093f2a554 -#- 2015-04-20 16:10:06 -0400 -#- Natacha Beck -#- userfiles/adhd200_fmri_study/adhd200_fmri_study.rb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- userfiles/fmri_study/fmri_study.rb
51b2ee081629708273dc0d044333321093f2a554 -#- 2015-04-20 16:10:06 -0400 -#- Natacha Beck -#- userfiles/gobs_fmri_study/gobs_fmri_study.rb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- userfiles/niak_fmri_study/niak_fmri_study.rb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- userfiles/open_fmri_org_study/open_fmri_org_study.rb
b33815b4fd4d8d2790585eb21b71f4bed0546a52 -#- 2015-01-13 14:32:17 -0500 -#- Pierre Rioux -#- userfiles/xnat_fmri_study/xnat_fmri_study.rb
